call_id,caller_id,receiver_id,timestamp,duration_sec,call_type,status
C0000001,P00575,P03818,2025-09-06 09:24:08,345,VoIP,Answered
C0000002,P02961,P01256,2025-05-24 04:22:43,758,Voice,Missed
C0000003,P08142,P01932,2025-01-19 13:26:46,681,Voice,Answered
C0000004,P07445,P08897,2025-01-10 14:12:31,194,Voice,Answered
C0000005,P03193,P03962,2025-02-13 22:12:07,175,Voice,Answered
C0000006,P02204,P06920,2025-04-12 12:53:07,417,SMS,Answered
C0000007,P02970,P02430,2025-08-07 06:06:48,347,Voice,Missed
C0000008,P02462,P09846,2025-12-23 01:24:52,264,Voice,Answered
C0000009,P02232,P07137,2025-03-09 04:14:43,71,Voice,Answered
C0000010,P08721,P00512,2025-09-16 13:07:57,255,Voice,Answered
C0000011,P03266,P01622,2025-12-22 11:44:48,432,SMS,Answered
C0000012,P03671,P05667,2025-02-20 05:28:10,609,Voice,Answered
C0000013,P07989,P07768,2025-04-26 01:24:43,61,Voice,Answered
C0000014,P08429,P00904,2025-10-09 18:38:48,804,Voice,Missed
C0000015,P05511,P07522,2025-03-09 04:17:13,553,Voice,Answered
C0000016,P04522,P03618,2025-03-28 08:10:18,464,VoIP,Answered
C0000017,P00070,P01662,2025-04-24 15:38:05,350,Voice,Missed
C0000018,P04030,P02259,2025-11-03 11:22:18,339,Voice,Answered
C0000019,P09619,P02050,2025-04-08 14:57:50,245,Voice,Answered
C0000020,P01442,P07842,2025-12-22 23:18:51,731,Voice,Answered
C0000021,P02743,P03999,2025-06-23 08:08:41,162,VoIP,Answered
C0000022,P06358,P05711,2025-09-14 03:07:05,387,SMS,Missed
C0000023,P03564,P00223,2025-10-11 15:16:02,112,Voice,Answered
C0000024,P06244,P09097,2025-06-11 14:19:10,567,Voice,Answered
C0000025,P09707,P06466,2025-09-28 03:09:29,63,Voice,Answered
C0000026,P02533,P03979,2025-11-21 06:02:01,585,VoIP,Answered
C0000027,P05780,P08381,2025-02-24 14:28:44,885,VoIP,Answered
C0000028,P08932,P00720,2025-07-08 17:50:46,292,Voice,Answered
C0000029,P07246,P07900,2025-02-16 18:42:20,39,VoIP,Answered
C0000030,P04447,P02159,2025-02-21 09:31:38,561,Voice,Answered
