fir_id,person_a,person_b,crime_type,date,location,case_status
F000001,P00951,P04964,Financial Fraud,2025-03-30,Delhi,Under Investigation
F000002,P00336,P00985,Extortion,2025-06-10,Delhi,Open
F000003,P02447,P09548,Organized Fraud,2025-12-14,Pune,Open
F000004,P07535,P01195,Illegal Financing,2025-01-28,Ahmedabad,Under Investigation
F000005,P03637,P07269,Extortion,2025-12-07,Hyderabad,Closed
F000006,P06354,P06200,Financial Fraud,2025-02-05,Delhi,Closed
F000007,P00565,P04724,Organized Fraud,2025-11-21,Vadodara,Open
F000008,P00865,P09433,Organized Fraud,2025-05-28,Pune,Open
F000009,P09989,P01946,Money Laundering,2025-01-26,Indore,Under Investigation
F000010,P03612,P02544,Extortion,2025-05-20,Indore,Open
F000011,P09523,P03806,Financial Fraud,2025-05-25,Ahmedabad,Open
F000012,P00277,P02589,Illegal Financing,2025-11-11,Vadodara,Open
F000013,P02473,P08200,Extortion,2025-08-11,Indore,Open
F000014,P01662,P05369,Illegal Financing,2025-06-19,Bengaluru,Under Investigation
F000015,P04985,P03356,Financial Fraud,2025-08-01,Kolkata,Open
F000016,P08041,P06433,Cyber Fraud,2025-06-14,Indore,Under Investigation
F000017,P02256,P08786,Extortion,2025-04-19,Hyderabad,Open
F000018,P05383,P00283,Extortion,2025-06-13,Mumbai,Closed
F000019,P09409,P04194,Organized Fraud,2025-07-22,Mumbai,Open
F000020,P05841,P09891,Financial Fraud,2025-04-22,Rajkot,Open
F000021,P03915,P05664,Extortion,2025-09-05,Hyderabad,Open
F000022,P02034,P06978,Cyber Fraud,2025-06-27,Ahmedabad,Open
F000023,P02794,P02833,Money Laundering,2025-07-08,Mumbai,Closed
F000024,P01837,P07593,Financial Fraud,2025-04-04,Ahmedabad,Under Investigation
F000025,P03063,P04934,Illegal Financing,2025-08-28,Mumbai,Under Investigation
F000026,P05351,P03330,Cyber Fraud,2025-07-29,Ahmedabad,Closed
F000027,P06404,P02471,Financial Fraud,2025-10-19,Kolkata,Open
F000028,P05162,P02360,Money Laundering,2025-12-13,Jaipur,Open
F000029,P02256,P09929,Extortion,2025-01-10,Vadodara,Open
F000030,P06415,P06447,Extortion,2025-06-02,Bengaluru,Open
F000031,P06821,P09205,Money Laundering,2025-12-15,Surat,Under Investigation
F000032,P07526,P00712,Cyber Fraud,2025-08-20,Pune,Closed
F000033,P02615,P03872,Money Laundering,2025-04-01,Kolkata,Open
F000034,P05490,P08532,Financial Fraud,2025-06-27,Bengaluru,Open
F000035,P00047,P05838,Extortion,2025-03-18,Ahmedabad,Under Investigation
F000036,P09974,P05302,Extortion,2025-06-22,Delhi,Open
F000037,P07720,P06240,Money Laundering,2025-12-12,Indore,Under Investigation
F000038,P09692,P06059,Cyber Fraud,2025-08-24,Bengaluru,Open
F000039,P02558,P06369,Illegal Financing,2025-10-17,Rajkot,Under Investigation
F000040,P02044,P04241,Money Laundering,2025-08-17,Kolkata,Under Investigation
F000041,P06170,P06417,Organized Fraud,2025-11-29,Rajkot,Open
F000042,P00717,P01538,Financial Fraud,2025-01-17,Ahmedabad,Under Investigation
F000043,P01312,P08470,Organized Fraud,2025-03-21,Pune,Under Investigation
F000044,P01204,P03158,Illegal Financing,2025-06-27,Pune,Open
F000045,P04295,P04881,Financial Fraud,2025-11-10,Vadodara,Under Investigation
F000046,P03673,P05658,Cyber Fraud,2025-06-06,Vadodara,Open
F000047,P02155,P07830,Financial Fraud,2025-09-09,Rajkot,Closed
F000048,P02861,P07916,Cyber Fraud,2025-01-29,Jaipur,Under Investigation
F000049,P05278,P02782,Financial Fraud,2025-08-16,Indore,Under Investigation
F000050,P03688,P02747,Cyber Fraud,2025-05-12,Delhi,Open
F000051,P03494,P06878,Money Laundering,2025-12-25,Mumbai,Open
F000052,P05299,P04527,Financial Fraud,2025-05-29,Bengaluru,Open
F000053,P09488,P03201,Money Laundering,2025-12-30,Bengaluru,Open
F000054,P04084,P05437,Money Laundering,2025-08-04,Delhi,Under Investigation
F000055,P02757,P07156,Money Laundering,2025-01-18,Bengaluru,Open
F000056,P09774,P06771,Organized Fraud,2025-08-13,Pune,Closed
F000057,P06371,P02127,Financial Fraud,2025-03-25,Surat,Open
F000058,P06856,P02789,Cyber Fraud,2025-05-20,Mumbai,Open
F000059,P05856,P05857,Cyber Fraud,2025-03-19,Bengaluru,Under Investigation
F000060,P05109,P08271,Illegal Financing,2025-06-23,Bengaluru,Open
F000061,P02807,P09681,Cyber Fraud,2025-09-08,Rajkot,Closed
F000062,P02289,P02832,Illegal Financing,2025-10-06,Rajkot,Under Investigation
F000063,P08194,P07600,Cyber Fraud,2025-08-20,Kolkata,Closed
F000064,P00123,P08057,Extortion,2025-09-02,Pune,Under Investigation
F000065,P05410,P00578,Financial Fraud,2025-09-07,Indore,Under Investigation
F000066,P02136,P01184,Cyber Fraud,2025-05-25,Ahmedabad,Closed
F000067,P05109,P02265,Illegal Financing,2025-05-07,Delhi,Open
F000068,P00220,P05456,Organized Fraud,2025-03-27,Delhi,Closed
F000069,P02915,P09918,Money Laundering,2025-08-13,Pune,Open
F000070,P00735,P08959,Extortion,2025-09-07,Mumbai,Open
F000071,P07765,P00501,Financial Fraud,2025-08-18,Hyderabad,Under Investigation
F000072,P00167,P02509,Financial Fraud,2025-01-06,Bengaluru,Closed
F000073,P06137,P04380,Extortion,2025-06-12,Pune,Open
F000074,P02815,P06419,Money Laundering,2025-11-07,Vadodara,Open
F000075,P06332,P07953,Financial Fraud,2025-08-28,Mumbai,Closed
F000076,P00274,P01346,Money Laundering,2025-11-03,Rajkot,Under Investigation
F000077,P01589,P07885,Cyber Fraud,2025-03-21,Hyderabad,Closed
F000078,P06606,P02874,Financial Fraud,2025-11-10,Delhi,Open
F000079,P06303,P05147,Cyber Fraud,2025-05-14,Vadodara,Open
F000080,P02929,P03031,Organized Fraud,2025-08-21,Mumbai,Under Investigation
F000081,P08075,P07185,Illegal Financing,2025-07-22,Rajkot,Under Investigation
F000082,P09061,P00039,Money Laundering,2025-02-01,Vadodara,Under Investigation
F000083,P09519,P08849,Organized Fraud,2025-10-27,Delhi,Under Investigation
F000084,P01313,P01325,Financial Fraud,2025-07-16,Vadodara,Open
F000085,P02071,P09520,Organized Fraud,2025-01-19,Jaipur,Closed
F000086,P00114,P07304,Illegal Financing,2025-09-26,Hyderabad,Open
F000087,P07152,P02575,Financial Fraud,2025-02-17,Vadodara,Open
F000088,P01584,P03070,Cyber Fraud,2025-10-12,Bengaluru,Open
F000089,P01661,P05834,Money Laundering,2025-01-04,Vadodara,Under Investigation
F000090,P00340,P02745,Money Laundering,2025-01-10,Vadodara,Closed
F000091,P09990,P06730,Extortion,2025-11-30,Surat,Open
F000092,P06697,P08000,Money Laundering,2025-07-10,Hyderabad,Under Investigation
F000093,P03137,P05132,Financial Fraud,2025-12-09,Vadodara,Open
F000094,P04899,P05909,Cyber Fraud,2025-02-01,Jaipur,Under Investigation
F000095,P04840,P03679,Cyber Fraud,2025-05-22,Kolkata,Open
F000096,P02342,P05463,Illegal Financing,2025-04-12,Rajkot,Open
F000097,P05508,P01586,Illegal Financing,2025-04-24,Pune,Under Investigation
F000098,P02940,P06936,Money Laundering,2025-06-01,Surat,Open
F000099,P05033,P04586,Organized Fraud,2025-02-25,Delhi,Open
F000100,P06310,P06936,Organized Fraud,2025-09-01,Hyderabad,Under Investigation
F000101,P09220,P09531,Money Laundering,2025-03-18,Jaipur,Open
F000102,P02098,P02821,Illegal Financing,2025-03-22,Delhi,Under Investigation
F000103,P05637,P09258,Financial Fraud,2025-01-06,Ahmedabad,Closed
F000104,P02787,P05928,Money Laundering,2025-10-06,Delhi,Open
F000105,P02220,P09655,Extortion,2025-02-14,Pune,Open
F000106,P02631,P01429,Organized Fraud,2025-10-15,Ahmedabad,Open
F000107,P03870,P08521,Financial Fraud,2025-04-13,Indore,Open
F000108,P08837,P09945,Cyber Fraud,2025-11-28,Vadodara,Under Investigation
F000109,P05432,P03489,Money Laundering,2025-06-25,Delhi,Under Investigation
F000110,P03848,P00831,Money Laundering,2025-06-13,Kolkata,Under Investigation
F000111,P07140,P08188,Organized Fraud,2025-11-02,Rajkot,Under Investigation
F000112,P01002,P01113,Cyber Fraud,2025-09-02,Kolkata,Open
F000113,P09556,P08116,Illegal Financing,2025-02-22,Pune,Open
F000114,P01477,P04003,Organized Fraud,2025-03-11,Jaipur,Open
F000115,P00831,P07175,Cyber Fraud,2025-04-19,Kolkata,Open
F000116,P08333,P06774,Financial Fraud,2025-04-01,Surat,Open
