transaction_id,sender_id,receiver_id,amount_inr,date,method,location,risk_label
T0000001,P04095,P04382,67471,2025-07-24,UPI,Vadodara,Normal
T0000002,P08004,P09703,299464,2025-07-06,UPI,Delhi,Normal
T0000003,P06703,P00313,14335,2025-01-28,Crypto,Indore,Normal
T0000004,P03041,P02034,28594,2025-05-24,Cash,Vadodara,Normal
T0000005,P03948,P03850,27044,2025-06-13,UPI,Kolkata,Normal
T0000006,P01209,P08553,26019,2025-03-15,Bank Transfer,Hyderabad,Normal
T0000007,P02971,P04334,10186,2025-01-12,Cash,Kolkata,Normal
T0000008,P01279,P01136,118130,2025-01-22,Crypto,Pune,Normal
T0000009,P03456,P07073,83593,2025-10-16,UPI,Ahmedabad,Normal
T0000010,P04616,P07817,61815,2025-07-23,Bank Transfer,Ahmedabad,Normal
T0000011,P02690,P08929,757731,2025-02-06,UPI,Rajkot,Suspicious
T0000012,P04578,P01553,32747,2025-04-25,Crypto,Kolkata,Normal
T0000013,P03781,P01581,42302,2025-05-01,UPI,Indore,Normal
T0000014,P03088,P08427,76297,2025-05-03,Bank Transfer,Rajkot,Normal
T0000015,P04244,P03681,32069,2025-05-06,UPI,Hyderabad,Normal
T0000016,P02127,P03878,22656,2025-12-29,Wallet,Hyderabad,Normal
T0000017,P00508,P00509,183148,2025-01-30,UPI,Hyderabad,Normal
T0000018,P09373,P03918,33687,2025-09-17,UPI,Bengaluru,Normal
T0000019,P08742,P07448,274076,2025-01-24,UPI,Indore,Normal
T0000020,P02574,P04321,414690,2025-12-23,Bank Transfer,Delhi,Suspicious
T0000021,P06128,P04708,110316,2025-08-23,Bank Transfer,Kolkata,Normal
T0000022,P06083,P09712,33864,2025-05-08,Crypto,Surat,Normal
T0000023,P06163,P05747,22475,2025-11-22,Cash,Hyderabad,Normal
T0000024,P08380,P02680,56740,2025-03-31,Crypto,Delhi,Normal
T0000025,P00855,P04792,79469,2025-07-22,Wallet,Mumbai,Normal
T0000026,P03985,P02906,564438,2025-02-27,Bank Transfer,Indore,Suspicious
T0000027,P02474,P05909,211187,2025-04-05,Crypto,Pune,Normal
T0000028,P00941,P02063,90323,2025-06-26,UPI,Ahmedabad,Normal
T0000029,P09940,P04012,29074,2025-12-29,UPI,Bengaluru,Normal
T0000030,P06518,P05424,240577,2025-08-28,Crypto,Jaipur,Normal
T0000031,P03926,P03932,124603,2025-07-11,Cash,Hyderabad,Suspicious
T0000032,P07204,P02504,116157,2025-07-14,UPI,Kolkata,Normal
T0000033,P04378,P01234,134167,2025-12-13,Cash,Ahmedabad,Normal
T0000034,P02842,P06548,93752,2025-02-08,Crypto,Vadodara,Normal
T0000035,P00543,P01048,166699,2025-02-03,UPI,Ahmedabad,Normal
T0000036,P02973,P01612,119048,2025-12-26,Bank Transfer,Jaipur,Normal
T0000037,P07263,P05011,53676,2025-02-20,UPI,Kolkata,Suspicious
T0000038,P07013,P01963,66608,2025-08-17,Bank Transfer,Mumbai,Normal
T0000039,P00759,P07625,733693,2025-08-21,Bank Transfer,Bengaluru,Suspicious
T0000040,P07647,P07475,74350,2025-12-13,Bank Transfer,Ahmedabad,Normal
T0000041,P06748,P07158,146672,2025-01-08,Wallet,Indore,Normal
T0000042,P05827,P02424,40869,2025-12-30,Crypto,Bengaluru,Normal
T0000043,P07505,P05622,73151,2025-07-22,Wallet,Indore,Normal
T0000044,P03993,P04560,109369,2025-03-10,UPI,Rajkot,Normal
T0000045,P06612,P02716,384085,2025-01-11,UPI,Ahmedabad,Suspicious
T0000046,P05766,P00034,2547,2025-07-03,UPI,Kolkata,Normal
T0000047,P08929,P04466,425660,2025-03-10,Bank Transfer,Rajkot,Suspicious
T0000048,P04392,P02184,10624,2025-03-29,Bank Transfer,Rajkot,Normal
T0000049,P00565,P08475,516883,2025-07-07,UPI,Pune,Suspicious
T0000050,P02068,P01473,63623,2025-06-18,Crypto,Surat,Normal
T0000051,P08295,P03927,14670,2025-09-05,UPI,Jaipur,Normal
T0000052,P00787,P05052,57241,2025-02-20,UPI,Pune,Normal
T0000053,P05508,P00644,16681,2025-02-17,Crypto,Kolkata,Normal
T0000054,P06185,P04660,141682,2025-12-12,UPI,Rajkot,Normal
T0000055,P07329,P03192,34192,2025-05-04,Bank Transfer,Kolkata,Normal
T0000056,P05471,P06273,14483,2025-05-05,Crypto,Surat,Normal
T0000057,P04519,P08697,350033,2025-05-29,Cash,Hyderabad,Suspicious
T0000058,P04810,P01445,162329,2025-05-17,Bank Transfer,Jaipur,Normal
T0000059,P09718,P07495,28636,2025-10-23,UPI,Bengaluru,Normal
T0000060,P05586,P08559,53307,2025-04-17,Cash,Ahmedabad,Normal
T0000061,P06546,P08516,252831,2025-01-23,UPI,Surat,Normal
T0000062,P02109,P02663,68331,2025-11-09,Bank Transfer,Pune,Normal
T0000063,P06691,P06069,344053,2025-05-25,Bank Transfer,Pune,Suspicious
T0000064,P07960,P03407,21032,2025-04-11,Bank Transfer,Surat,Normal
T0000065,P04000,P09644,48743,2025-12-02,Bank Transfer,Surat,Normal
T0000066,P09054,P06383,59410,2025-07-27,Bank Transfer,Jaipur,Normal
T0000067,P03902,P04402,13833,2025-08-11,UPI,Hyderabad,Normal
T0000068,P07023,P04977,292565,2025-12-23,Cash,Vadodara,Normal
T0000069,P01967,P00825,63768,2025-07-10,Bank Transfer,Pune,Normal
T0000070,P01167,P00706,22969,2025-08-30,UPI,Mumbai,Normal
T0000071,P05774,P09022,234924,2025-11-17,Cash,Vadodara,Normal
T0000072,P00150,P07269,12565,2025-10-20,UPI,Ahmedabad,Normal
T0000073,P05027,P00885,117324,2025-06-25,UPI,Kolkata,Normal
T0000074,P01086,P07814,78232,2025-07-21,UPI,Jaipur,Normal
T0000075,P00832,P07993,247428,2025-08-13,Wallet,Bengaluru,Normal
T0000076,P02070,P08090,440088,2025-06-25,UPI,Ahmedabad,Suspicious
T0000077,P01156,P02005,27435,2025-03-01,Crypto,Pune,Normal
T0000078,P01740,P04683,34019,2025-08-31,Wallet,Bengaluru,Normal
T0000079,P07267,P09463,117971,2025-07-16,Bank Transfer,Bengaluru,Normal
T0000080,P04010,P01178,80862,2025-04-16,UPI,Kolkata,Normal
T0000081,P01825,P06981,60703,2025-07-31,UPI,Mumbai,Normal
T0000082,P05029,P04933,268811,2025-06-07,Bank Transfer,Surat,Normal
T0000083,P04720,P08842,14246,2025-10-13,Cash,Vadodara,Normal
T0000084,P06516,P06582,60709,2025-05-22,Crypto,Ahmedabad,Normal
T0000085,P05977,P01656,175599,2025-01-17,UPI,Indore,Normal
T0000086,P08246,P05759,142318,2025-11-17,Cash,Indore,Normal
T0000087,P06571,P09615,49633,2025-05-16,Crypto,Surat,Normal
T0000088,P06931,P06329,323762,2025-08-29,Bank Transfer,Kolkata,Suspicious
T0000089,P05178,P00625,36922,2025-01-16,UPI,Kolkata,Normal
T0000090,P03091,P08242,292982,2025-02-24,UPI,Mumbai,Normal
T0000091,P04440,P02467,191786,2025-10-23,Bank Transfer,Indore,Normal
T0000092,P03357,P05132,197798,2025-08-11,Bank Transfer,Kolkata,Suspicious
T0000093,P00223,P09313,193009,2025-12-19,Cash,Hyderabad,Normal
T0000094,P01997,P05290,13982,2025-12-02,Bank Transfer,Pune,Normal
T0000095,P04988,P00345,543027,2025-09-30,UPI,Delhi,Suspicious
T0000096,P03849,P08786,123324,2025-09-08,Bank Transfer,Delhi,Normal
T0000097,P09510,P02458,197353,2025-07-11,Cash,Pune,Normal
T0000098,P00366,P00793,14280,2025-08-15,Bank Transfer,Kolkata,Normal
T0000099,P08763,P03432,272374,2025-12-02,UPI,Mumbai,Normal
T0000100,P09549,P09258,6428,2025-01-29,UPI,Kolkata,Normal
T0000101,P02947,P09427,112142,2025-04-19,Bank Transfer,Hyderabad,Normal
T0000102,P05171,P05366,80708,2025-10-03,Bank Transfer,Hyderabad,Normal
T0000103,P09397,P08445,47154,2025-08-05,UPI,Jaipur,Normal
T0000104,P06484,P08218,83692,2025-10-02,Bank Transfer,Bengaluru,Normal
T0000105,P05893,P09809,142226,2025-10-30,UPI,Indore,Suspicious
T0000106,P07623,P00137,15581,2025-07-29,UPI,Kolkata,Normal
T0000107,P07422,P08652,46994,2025-09-27,Wallet,Indore,Normal
T0000108,P07694,P03640,81453,2025-12-04,Bank Transfer,Indore,Normal
T0000109,P04023,P01752,504047,2025-04-25,Bank Transfer,Surat,Suspicious
T0000110,P02271,P00160,310136,2025-12-04,Bank Transfer,Vadodara,Suspicious
T0000111,P09679,P09900,84382,2025-01-27,Bank Transfer,Pune,Normal
T0000112,P04917,P02062,292172,2025-09-09,Bank Transfer,Delhi,Normal
T0000113,P07589,P03043,235378,2025-06-24,UPI,Delhi,Normal
T0000114,P08796,P07293,125270,2025-10-22,UPI,Mumbai,Normal
T0000115,P07429,P03656,5571,2025-10-02,Bank Transfer,Mumbai,Normal
T0000116,P07129,P05818,32196,2025-09-08,Bank Transfer,Delhi,Normal
T0000117,P01548,P04978,34604,2025-09-22,Bank Transfer,Rajkot,Normal
T0000118,P00007,P02680,26964,2025-06-26,Cash,Hyderabad,Normal
T0000119,P00129,P00159,62818,2025-08-06,UPI,Rajkot,Normal
T0000120,P08893,P05812,15363,2025-03-27,UPI,Delhi,Normal
T0000121,P02674,P02675,120095,2025-12-22,Wallet,Pune,Normal
T0000122,P01175,P02772,232693,2025-07-26,Bank Transfer,Bengaluru,Normal
T0000123,P03784,P00616,67473,2025-01-11,Bank Transfer,Bengaluru,Normal
T0000124,P08177,P07767,30840,2025-01-16,Bank Transfer,Bengaluru,Normal
T0000125,P06825,P04863,182444,2025-11-16,Wallet,Delhi,Normal
T0000126,P03581,P00317,1126362,2025-08-02,UPI,Hyderabad,Suspicious
T0000127,P07790,P00690,128266,2025-02-03,Cash,Kolkata,Normal
T0000128,P02604,P04518,20008,2025-02-08,Bank Transfer,Pune,Normal
T0000129,P00623,P06831,304752,2025-08-19,Bank Transfer,Vadodara,Suspicious
T0000130,P01708,P04552,163073,2025-03-31,Bank Transfer,Pune,Normal
T0000131,P05846,P09745,44712,2025-05-02,Wallet,Indore,Normal
T0000132,P03125,P07144,207125,2025-11-13,Crypto,Vadodara,Normal
T0000133,P03351,P09849,165665,2025-05-11,UPI,Pune,Normal
T0000134,P05968,P04796,91460,2025-05-31,UPI,Rajkot,Normal
T0000135,P05324,P08159,18599,2025-02-08,Crypto,Indore,Normal
T0000136,P02220,P05606,607968,2025-03-15,Bank Transfer,Hyderabad,Suspicious
T0000137,P01071,P06360,605399,2025-09-25,UPI,Rajkot,Suspicious
T0000138,P00768,P01147,54500,2025-08-21,UPI,Indore,Suspicious
T0000139,P08304,P00326,23813,2025-05-22,Cash,Delhi,Normal
T0000140,P05009,P09771,93728,2025-10-05,Bank Transfer,Kolkata,Normal
T0000141,P08753,P02820,15303,2025-01-01,UPI,Vadodara,Normal
T0000142,P01433,P00270,11321,2025-11-20,Bank Transfer,Jaipur,Normal
T0000143,P05569,P09538,286209,2025-10-15,Wallet,Surat,Normal
